tweet,answer,author,handle,url,date,is_retweet,num_comments,num_retweets,num_favorites
Then we attended the Scottish fashion show that benefits veterans Dressed to Kilt 2010 which I co-hosted with Sir Sean and Lady Connery.,real,Donald J. Trump,realDonaldTrump,,1270589660000,false,0,8,2
Last night Melania and I attended the Skating with the Stars Gala at Wollman Rink in Central Park it was fantastic. Stay tuned for Part 2..,real,Donald J. Trump,realDonaldTrump,,1270586030000,false,0,3,3
Today's open call drew thousands of  eager applicants. It was an impressive group  I enjoyed meeting them. We've got some great candidates!,real,Donald J. Trump,realDonaldTrump,,1270173070000,false,0,8,3
Don't forget the open call at Trump Tower tomorrow for The Apprentice. I look forward to seeing you there.,real,Donald J. Trump,realDonaldTrump,,1270068075000,false,0,19,4
The Trump Hotel Collection is currently nominated for Conde Nast Traveler Readers Choice Awards Travel & Leisure and World Travel Awards.,real,Donald J. Trump,realDonaldTrump,,1269386783000,false,0,13,5
Last week's episode of the Celebrity Apprentice set the stage for a great new season. Tune in this Sunday on NBC for even more excitement.,real,Donald J. Trump,realDonaldTrump,,1269032913000,false,0,9,2
I am happy to announce that theoriginal Apprentice --which will offer job opportunities to those in need--is coming back.,real,Donald J. Trump,realDonaldTrump,,1268961467000,false,0,45,9
Olympic Gold  Medalist Evan Lysacek just left my office. He is in town and wanted to meet me--he's a fanastic guy and a true champion.,real,Donald J. Trump,realDonaldTrump,,1268864053000,false,0,13,7
Superbowl Sunday is a great American tradition. The Colts and Saints are already champions but may the best team win!,real,Donald J. Trump,realDonaldTrump,,1265590482000,false,0,16,3
"from Donald Trump: ""I saw Lady Gaga last night and she was fantastic!""",real,Donald J. Trump,realDonaldTrump,,1264121923000,false,0,3813,3223
Celebrity Apprentice returns to NBC Sunday 3/14 9-11PM ET/PT. Outstanding list of celebrities & season should be the best one yet!,real,Donald J. Trump,realDonaldTrump,,1263348308000,false,0,20,3
From Donald Trump: Wishing everyone a wonderful holiday & a happy healthy prosperous New Year. Let’s think like champions in 2010!,real,Donald J. Trump,realDonaldTrump,,1261618698000,false,0,28,12
Wishing you and yours a very Happy and Bountiful Thanksgiving!,real,Donald J. Trump,realDonaldTrump,,1259294138000,false,0,13,11
--Work has begun ahead of schedule to build the greatest golf course in history: Trump International – Scotland.,real,Donald J. Trump,realDonaldTrump,,1257202676000,false,0,7,6
"--From Donald Trump: ""Ivanka and Jared’s wedding was spectacular and they make a beautiful couple. I’m a very proud father.""",real,Donald J. Trump,realDonaldTrump,,1256682708000,false,0,4,5
Ivanka is now on Twitter - You can follow her @IvankaTrump - Have a terrific weekend!,real,Donald J. Trump,realDonaldTrump,,1250285626000,false,0,11,15
Here's to a safe and happy Independence Day for one and all - Enjoy it! --Donald J. Trump,real,Donald J. Trump,realDonaldTrump,,1246774796000,false,0,3,2
"RE: Michael Jackson: ""He was a great friend and a spectacular entertainer. It’s a devastating loss!"" -Donald J. Trump,06-26-2009 16:51:16,34,88,false,2346367430",real,Donald J. Trump,realDonaldTrump,,1594024597657,,0,,
Thanks to all for your thoughtful birthday wishes – Donald Trump,real,Donald J. Trump,realDonaldTrump,,1245132785000,false,0,38,31
"Miss USA Tara Conner will not be fired - ""I've always been a believer in second chances."" says Donald Trump,05-12-2009 19:21:55,10,13,false,1776419923",real,Donald J. Trump,realDonaldTrump,,1594024597658,,0,,
"""My persona will never be that of a wallflower - I’d rather build walls than cling to them"" --Donald J. Trump,05-12-2009 14:07:28,1421,1950,false,1773561338",real,Donald J. Trump,realDonaldTrump,,1594024597658,,0,,
Donald Trump will be appearing on The View tomorrow morning to discuss Celebrity Apprentice and his new book Think Like A Champion!,real,Donald J. Trump,realDonaldTrump,,1241510410000,false,0,2,3
Be sure to tune in and watch Donald Trump on Late Night with David Letterman as he presents the Top Ten List tonight!,real,Donald J. Trump,realDonaldTrump,,1241488465000,false,0,253,202
